Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:49:33 Jan 08 2024,98,78,0,0,0
16:49:37 Jan 08 2024,99,81,0,0,0
16:49:41 Jan 08 2024,98,83,0,0,0
16:49:45 Jan 08 2024,99,82,0,0,0
16:49:49 Jan 08 2024,99,82,0,0,0
16:49:53 Jan 08 2024,99,85,0,0,0
16:49:57 Jan 08 2024,99,84,0,0,0
16:50:01 Jan 08 2024,99,80,0,0,0
16:50:05 Jan 08 2024,99,76,0,0,0
16:50:09 Jan 08 2024,99,76,0,0,0
16:50:13 Jan 08 2024,99,76,0,0,0
16:50:17 Jan 08 2024,99,76,0,0,0
16:50:21 Jan 08 2024,99,76,0,0,0
16:50:25 Jan 08 2024,99,75,3,0,0
16:50:29 Jan 08 2024,99,72,0,0,0
16:50:33 Jan 08 2024,99,71,0,0,0
16:50:37 Jan 08 2024,99,71,0,0,0
16:50:41 Jan 08 2024,99,73,0,0,0
16:50:45 Jan 08 2024,99,74,0,0,0
16:50:49 Jan 08 2024,99,76,0,0,0
16:50:53 Jan 08 2024,99,82,0,0,0
16:50:57 Jan 08 2024,99,83,0,0,0
16:51:01 Jan 08 2024,99,83,0,0,0
16:51:05 Jan 08 2024,98,77,0,0,0
16:51:09 Jan 08 2024,98,74,1,0,0
16:51:13 Jan 08 2024,99,74,0,0,0
16:51:17 Jan 08 2024,99,73,2,0,0
16:51:21 Jan 08 2024,99,73,10,0,0
16:51:25 Jan 08 2024,99,73,49,0,0
16:51:29 Jan 08 2024,99,73,6,0,0
16:51:33 Jan 08 2024,99,73,7,0,0
16:51:37 Jan 08 2024,99,73,0,0,0
16:51:41 Jan 08 2024,99,77,0,0,0
16:51:45 Jan 08 2024,99,77,0,0,0
16:51:49 Jan 08 2024,99,77,2,0,0
16:51:53 Jan 08 2024,99,77,14,0,0
16:51:57 Jan 08 2024,99,77,0,0,0
16:52:01 Jan 08 2024,99,81,0,0,0
16:52:05 Jan 08 2024,99,81,0,0,0
16:52:09 Jan 08 2024,99,81,0,0,0
16:52:13 Jan 08 2024,99,80,0,0,0
16:52:17 Jan 08 2024,99,79,0,0,0
16:52:21 Jan 08 2024,99,77,0,0,0
16:52:25 Jan 08 2024,99,77,0,0,0
16:52:29 Jan 08 2024,99,78,0,0,0
16:52:33 Jan 08 2024,99,79,0,0,0
16:52:37 Jan 08 2024,99,78,1,0,0
16:52:41 Jan 08 2024,99,77,0,0,0
16:52:45 Jan 08 2024,99,77,0,0,0
16:52:49 Jan 08 2024,99,76,0,0,0
16:52:53 Jan 08 2024,99,74,0,0,0
16:52:57 Jan 08 2024,99,73,0,0,0
16:53:01 Jan 08 2024,99,74,0,0,0
16:53:05 Jan 08 2024,99,76,0,0,0
16:53:09 Jan 08 2024,99,75,0,0,0
16:53:13 Jan 08 2024,99,77,0,0,0
16:53:17 Jan 08 2024,99,78,0,0,0
16:53:21 Jan 08 2024,99,78,0,0,0
16:53:25 Jan 08 2024,99,77,0,0,0
16:53:29 Jan 08 2024,99,76,0,0,0
16:53:33 Jan 08 2024,99,76,0,0,0
16:53:37 Jan 08 2024,99,76,0,0,0
16:53:41 Jan 08 2024,99,74,0,0,0
16:53:45 Jan 08 2024,99,75,0,0,0
16:53:49 Jan 08 2024,99,75,0,0,0
16:53:53 Jan 08 2024,99,77,1,0,0
16:53:57 Jan 08 2024,98,79,0,0,0
16:54:01 Jan 08 2024,98,82,0,0,0
